gen,mavg,max,directory,plot,environment,random_seed,number_generations,type,number_neurons,delta_t,normalize_input,normalize_input_target,optimize_state_boundaries,clipping_range_max,clipping_range_min,optimize_y0,set_principle_diagonal_elements_of_W_negative,w_mask,w_mask_param,v_mask,v_mask_param,t_mask,t_mask_param,parameter_perturbations,population_size,checkpoint_frequency,initial_gene_range,mate_indpb_1,mate_indpb_2,mutation_Gaussian_sigma_1,mutation_Gaussian_sigma_2,mutation_Gaussian_sigma_3,mutation_Gaussian_indpb_1,mutation_Gaussian_indpb_2,mutation_Gaussian_indpb_3,elitist_ratio,tournsize,mu,lambda_,mutpb,include_parents_in_next_generation,keep_env_seed_fixed_during_generation,number_fitness_runs,reuse_env,mate_indpb
50,-87.22782402037829,-13.41772303275708,2020-06-06_18-56-23,,BipedalWalker-v3,0,50,MU_ES,5,1.0,False,10,legacy,1.0,-1.0,True,False,logarithmic,1.5,logarithmic,8,logarithmic,2,0.01,100,0,0.5,,,5.0,5.0,,0.1,0.003,,0.05,5,0.2,1.0,0.9,True,False,1,True,0.5
50,-99.5010916233134,-87.95022800216611,2020-06-05_16-59-49,,BipedalWalker-v3,0,50,MU_ES,20,0.5,True,10,global,1.0,-1.0,False,True,logarithmic,2,logarithmic,1.5,logarithmic,8,0.01,100,0,20,0.2,0.4,1.0,5.0,1.0,0.2,0.01,0.005,0.05,5,0.1,0.9,0.9,True,False,1,True,
50,-97.42050384167233,-97.25280012278516,2020-06-05_15-42-47,,BipedalWalker-v3,0,50,MU_ES,10,0.01,True,1,fixed,1.0,-1.0,True,False,logarithmic,8,logarithmic,2,logarithmic,8,0.0,100,0,20,0.2,0.4,1.0,1.0,5.0,0.2,0.02,0.002,0.05,5,0.3,0.7,0.5,True,False,1,True,
50,-91.46645892359432,-91.01328814756383,2020-06-05_19-26-43,,BipedalWalker-v3,0,50,MU_ES,10,0.01,False,1,fixed,1.0,-1.0,False,True,logarithmic,2,logarithmic,2,logarithmic,8,0.001,100,0,0.5,0.1,0.5,5.0,1.0,5.0,0.1,0.01,0.002,0.0,5,0.05,0.7,0.9,True,False,1,True,
50,-96.19908292006048,-22.069132865065626,2020-06-06_12-12-35,,BipedalWalker-v3,0,50,MU_ES,5,0.5,False,10,per_neuron,1.0,-1.0,False,True,logarithmic,8,logarithmic,2,logarithmic,2,0.1,100,0,5,,,5.0,5.0,,0.3,0.003,,0.05,5,0.5,1.0,0.8,True,False,1,True,0.3
50,-92.81551364360378,-90.50319045224063,2020-06-05_14-24-39,,BipedalWalker-v3,0,50,MU_ES,20,0.05,True,10,fixed,1.0,-1.0,True,True,logarithmic,8,logarithmic,8,logarithmic,8,0.0,100,0,3,0.1,0.4,1.0,1.0,5.0,0.2,0.01,0.005,0.0,5,0.1,0.95,0.95,True,False,1,True,
50,-34.54249003992293,-21.55680120015579,2020-06-05_17-36-15,,BipedalWalker-v3,0,50,MU_ES,10,0.5,False,20,fixed,1.0,-1.0,False,True,logarithmic,8,logarithmic,8,logarithmic,2,0.001,100,0,1,0.1,0.4,5.0,1.0,1.0,0.1,0.01,0.002,0.05,5,0.3,0.9,0.95,True,False,1,True,
50,-68.16694333425148,-38.27282400939337,2020-06-05_15-22-56,,BipedalWalker-v3,0,50,MU_ES,5,1.0,True,20,fixed,1.0,-1.0,True,False,logarithmic,2,logarithmic,2,logarithmic,1.5,0.001,100,0,1,0.1,0.4,5.0,5.0,1.0,0.2,0.05,0.001,0.1,5,0.1,0.9,0.99,True,False,1,True,
50,11.016701827498606,15.258857782437948,2020-06-05_19-18-40,,BipedalWalker-v3,0,50,MU_ES,10,0.5,False,5,global,1.0,-1.0,True,True,logarithmic,2,logarithmic,2,logarithmic,8,0.0,100,0,1,0.3,0.5,5.0,1.0,1.0,0.1,0.02,0.005,0.0,5,0.3,0.9,0.9,True,False,1,True,
50,-51.912639602129936,-23.73677971365696,2020-06-05_18-17-34,,BipedalWalker-v3,0,50,MU_ES,10,1.0,False,10,global,1.0,-1.0,False,False,logarithmic,2,logarithmic,8,logarithmic,1.5,0.0001,100,0,1,0.1,0.5,1.0,1.0,1.0,0.2,0.05,0.001,0.0,5,0.05,0.5,0.95,True,False,1,True,
